State,P1987,P1989,P1991,P1993,P1995,P1997,P1999,P2001,P2003,P2005,P2007,P2009,P2011,P2013,F1987,F1989,F1991,F1993,F1995,F1997,F1999,F2001,F2003,F2005,F2007,F2011,F2013
Andhra Pradesh,"5,35,51,030","5,35,51,030","6,65,08,170","6,65,08,170","6,65,08,170","6,65,08,170","7,57,28,400","4,93,86,799","4,93,86,799","4,93,86,799","4,93,86,799","4,93,86,799","4,93,86,799","4,93,86,799","49,573","47,290","47,290","47,256","47,112","43,290","44,229","44,637","44,419","44,372","45,102","46,389","46,116"
Uttar Pradesh,"10,51,13,300","10,51,13,300","13,20,62,800","13,20,62,800","13,20,62,800","13,20,62,800","16,60,53,600","19,95,81,477","19,95,81,477","19,95,81,477","19,95,81,477","19,95,81,477","19,95,81,477","19,95,81,477","31,226","33,627","33,609","33,961","33,986","10,751","10,756","13,746","14,118","14,127","14,341","14,338","14,349"
Maharashtra,"6,27,82,820","6,27,82,820","7,89,37,190","7,89,37,190","7,89,37,190","7,89,37,190","9,67,52,500","11,23,72,972","11,23,72,972","11,23,72,972","11,23,72,972","11,23,72,972","11,23,72,972","11,23,72,972","45,616","44,044","44,044","43,859","43,843","46,143","46,672","47,482","46,865","47,476","50,650","50,646","50,632"
Bihar,"5,23,03,000","5,23,03,000","6,45,31,200","6,45,31,200","6,45,31,200","6,45,31,200","8,28,79,910","10,38,04,630","10,38,04,630","10,38,04,630","10,38,04,630","10,38,04,630","10,38,04,630","10,38,04,630","28,482","26,668","26,668","26,587","26,561","4,832","4,830","5,720","5,558","5,579","6,804","6,845","7,291"
West Bengal,"5,45,80,650","5,45,80,650","6,80,77,970","6,80,77,970","6,80,77,970","6,80,77,970","8,02,21,300","9,13,47,736","9,13,47,736","9,13,47,736","9,13,47,736","9,13,47,736","9,13,47,736","9,13,47,736","8,432","8,015","8,015","8,186","8,276","8,349","8,362","10,693","12,343","12,413","12,994","12,995","16,805"
Madhya Pradesh,"3,81,69,500","3,81,69,500","4,85,66,800","4,85,66,800","4,85,66,800","4,85,66,800","6,03,85,090","7,25,97,565","7,25,97,565","7,25,97,565","7,25,97,565","7,25,97,565","7,25,97,565","7,25,97,565","1,30,099","1,35,541","1,35,541","1,35,396","1,35,164","74,760","75,137","77,265","76,429","76,013","77,700","77,700","77,522"
Tamil Nadu,"4,84,08,080","4,84,08,080","5,58,59,300","5,58,59,300","5,58,59,300","5,58,59,300","6,21,11,390","7,21,38,958","7,21,38,958","7,21,38,958","7,21,38,958","7,21,38,958","7,21,38,958","7,21,38,958","17,472","16,992","16,992","17,005","17,045","17,064","17,078","21,482","22,643","23,044","23,338","23,625","23,844"
Rajasthan,"2,57,65,810","2,57,65,810","3,43,61,860","3,43,61,860","3,43,61,860","3,43,61,860","4,40,05,990","5,64,73,300","5,64,73,300","5,64,73,300","5,64,73,300","5,64,73,300","5,64,73,300","5,64,73,300","12,758","12,884","12,889","13,099","13,280","13,353","13,871","16,367","15,826","15,850","16,036","16,087","16,086"
Karnataka,"3,71,35,710","3,71,35,710","44,977,.200","44,977,.200","44,977,.200","44,977,.200","5,27,34,986","6,11,30,704","6,11,30,704","6,11,30,704","6,11,30,704","6,11,30,704","6,11,30,704","6,11,30,704","32,268","32,104","32,199","32,343","32,382","32,403","32,467","36,991","36,449","35,251","36,190","36,194","36,132"
Gujarat,"3,40,85,800","3,40,85,800","4,13,09,580","4,13,09,580","4,13,09,580","4,13,09,580","5,05,97,200","6,03,83,628","6,03,83,628","6,03,83,628","6,03,83,628","6,03,83,628","6,03,83,628","6,03,83,628","11,991","11,921","11,907","12,044","12,320","12,578","12,965","15,152","14,946","14,715","14,620","14,619","14,653"
Odisha,"2,63,70,270","2,63,70,270","3,16,59,740","3,16,59,740","3,16,59,740","3,16,59,740","3,67,07,900","4,19,47,358","4,19,47,358","4,19,47,358","4,19,47,358","4,19,47,358","4,19,47,358","4,19,47,358","53,253","47,227","47,205","47,145","47,107","46,941","47,033","48,838","48,366","48,374","48,855","48,903","50,347"
