name,year,value,lastValue
Australia,1990,1338822.0,1338822.0
Australia,1991,1336753.9,1338822.0
Australia,1992,1334685.8,1336753.9
Australia,1993,1332617.7,1334685.8
Australia,1994,1330549.6,1332617.7
Australia,1995,1328481.5,1330549.6
Australia,1996,1326413.4,1328481.5
Australia,1997,1324345.3,1326413.4
Australia,1998,1322277.2,1324345.3
Australia,1999,1320209.1,1322277.2
Australia,2000,1318141.0,1320209.1
Australia,2001,1315873.0,1318141.0
Australia,2002,1313605.0,1315873.0
Australia,2003,1311337.0,1313605.0
Australia,2004,1309069.0,1311337.0
Australia,2005,1306801.0,1309069.0
Australia,2006,1304533.0,1306801.0
Australia,2007,1302265.0,1304533.0
Australia,2008,1299997.0,1302265.0
Australia,2009,1297729.0,1299997.0
Australia,2010,1295461.0,1297729.0
Australia,2011,1302557.8,1295461.0
Australia,2012,1309654.6,1302557.8
Australia,2013,1316751.4,1309654.6
Australia,2014,1323848.2,1316751.4
Australia,2015,1330945.0,1323848.2
Australia,2016,1340372.0,1330945.0
Australia,2017,1340174.0,1340372.0
Australia,2018,1340051.0,1340174.0
Australia,2019,1340051.0,1340051.0
Australia,2020,1340051.0,1340051.0
Russian Federation,1990,7890136.2,7890136.2
Russian Federation,1991,7990136.2,7890136.2
Russian Federation,1992,8090136.2,7990136.2
Russian Federation,1993,8090454.8,8090136.2
Russian Federation,1994,8090773.4,8090454.8
Russian Federation,1995,8091092.0,8090773.4
Russian Federation,1996,8091410.6,8091092.0
Russian Federation,1997,8091729.2,8091410.6
Russian Federation,1998,8092047.8,8091729.2
Russian Federation,1999,8092366.4,8092047.8
Russian Federation,2000,8092685.0,8092366.4
Russian Federation,2001,8098552.1,8092685.0
Russian Federation,2002,8104419.2,8098552.1
Russian Federation,2003,8110286.3,8104419.2
Russian Federation,2004,8116153.4,8110286.3
Russian Federation,2005,8122020.5,8116153.4
Russian Federation,2006,8127887.6,8122020.5
Russian Federation,2007,8133754.7,8127887.6
Russian Federation,2008,8139621.8,8133754.7
Russian Federation,2009,8145488.9,8139621.8
Russian Federation,2010,8151356.0,8145488.9
Russian Federation,2011,8150945.72,8151356.0
Russian Federation,2012,8150535.44,8150945.72
Russian Federation,2013,8150125.16,8150535.44
Russian Federation,2014,8149714.88,8150125.16
Russian Federation,2015,8149304.6,8149714.88
Russian Federation,2016,8151210.3,8149304.6
Russian Federation,2017,8153116.0,8151210.3
Russian Federation,2018,8153116.0,8153116.0
Russian Federation,2019,8153116.0,8153116.0
Russian Federation,2020,8153116.0,8153116.0
Brazil,1990,5888980.0,5888980.0
Brazil,1991,5851170.6,5888980.0
Brazil,1992,5813361.2,5851170.6
Brazil,1993,5775551.8,5813361.2
Brazil,1994,5737742.4,5775551.8
Brazil,1995,5699933.0,5737742.4
Brazil,1996,5662123.6,5699933.0
Brazil,1997,5624314.2,5662123.6
Brazil,1998,5586504.8,5624314.2
Brazil,1999,5548695.4,5586504.8
Brazil,2000,5510886.0,5548695.4
Brazil,2001,5471378.1,5510886.0
Brazil,2002,5431870.2,5471378.1
Brazil,2003,5392362.3,5431870.2
Brazil,2004,5352854.4,5392362.3
Brazil,2005,5313346.5,5352854.4
Brazil,2006,5273838.6,5313346.5
Brazil,2007,5234330.7,5273838.6
Brazil,2008,5194822.8,5234330.7
Brazil,2009,5155314.9,5194822.8
Brazil,2010,5115807.0,5155314.9
Brazil,2011,5100415.2,5115807.0
Brazil,2012,5085023.4,5100415.2
Brazil,2013,5069631.6,5085023.4
Brazil,2014,5054239.8,5069631.6
Brazil,2015,5038848.0,5054239.8
Brazil,2016,5020821.0,5038848.0
Brazil,2017,5000916.0,5020821.0
Brazil,2018,4990514.0,5000916.0
Brazil,2019,4977985.0,4990514.0
Brazil,2020,4966196.0,4977985.0
Canada,1990,3482729.3,3482729.3
Canada,1991,3482258.34,3482729.3
Canada,1992,3481787.38,3482258.34
Canada,1993,3481316.42,3481787.38
Canada,1994,3480845.46,3481316.42
Canada,1995,3480374.5,3480845.46
Canada,1996,3479903.54,3480374.5
Canada,1997,3479432.58,3479903.54
Canada,1998,3478961.62,3479432.58
Canada,1999,3478490.66,3478961.62
Canada,2000,3478019.7,3478490.66
