"Ramsar Site No.","Site name","Region","Country","Territory","Designation date","Last publication date","Area (ha)","Latitude","Longitude","Annotated summary","Criterion1","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Criterion9","Wetland Type","Maximum elevation","Minimum elevation","Montreux listed","Management plan implemented","Management plan available","Ecosystem services","Threats","large administrative region","Global international legal designations","Regional international legal designations","National conservation designation","Does the wetland extend onto the territory of one or more other countries?","Ramsar Advisory Mission?"
"1572","Rudrasagar Lake","Asia","India","","2005-11-08","2005-11-08","240","23.4833333333","91.2666666667","Rudrasagar Lake. 08/11/05; Tripura; 240 ha; 23°29'N 090°01'E. A lowland sedimentation reservoir in the northeast hills, fed by three perennial streams discharging to the River Gomti. The lake is abundant in commercially important freshwater fishes like Botia spp, Notopterus Chitala, Mystus spp., Ompok pabda, Labeo bata, and freshwater scampi, with annual production of 26 metric-tons, and an ideal habitat for IUCN Redlisted Three-striped Roof Turtle Kachuga dhongka. Owing to high rainfall (2500mm) and downstream topography, the wetland is regularly flooded with 4-5 times annual peak, assisting in groundwater recharge. Aquatic weeds are composed of rare marginal-floating-emergent-submerged weeds. Lands are owned by the state with perennial water areas leased out to the subsistent fishermens' cooperative, and surrounding seasonal waterbodies are cultivated for paddy. Main threats are increasing silt loads due to deforestation, expansion of agricultural land and intensive farming, and land conversion for population pressure. Vijaya Dashami, one of the most important Hindu festivals with various sports events, attracts at least 50,000 tourists and devotees every year. A management plan is underway by the MoEF-India. Ramsar site no. 1572. Most recent RIS information: 2005.","No","Yes","Yes","No","No","No","No","Yes","No","Inland wetlands, P: Seasonal/ intermittent freshwater lakes, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, O: Permanent freshwater lakes","16","7","No","No","No","Regulating Services, Maintenance of hydrological regimes, Hazard reduction, Erosion protection, Cultural Services, Spiritual and inspirational, Recreation and tourism, Provisioning Services, Wetland non-food products, Food for humans, Fresh water","Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Human settlements (non agricultural), Housing and urban areas, Biological resource use, Logging and wood harvesting, Agriculture & aquaculture, Annual and perennial non-timber crops","West Tripura District","","","","No","No"
"2464","Khijadia Wildlife Sanctuary","Asia","India","","2021-04-13","2022-02-01","511.745","22.5144688657244","70.14589203367539","<p>This freshwater wetland near the coast of the Gulf of Kutch in Gujarat State&nbsp;was formed following the creation of a bund (dike) in 1920 to protect farmland from saltwater ingress. As one of the important waterbird habitats in North-West India, the Site provides breeding, feeding and roosting grounds for a wide range of resident aquatic and also land-based birds. It provides habitat for over 310 bird species, including 125 waterbirds; over 165,000 individual waterbirds have been counted. These include the endangered Pallas&rsquo;s fish-eagle (<em>Haliaeetus leucoryphus</em>) and Indian skimmer (<em>Rynchops albicollis</em>), and the vulnerable common pochard (<em>Aythya </em><em>ferina</em>). The Site also regularly supports more than 1% of the south and south-west Asian population of Dalmatian pelican (<em>Pelecanus crispus</em>), more than 2% of greylag goose (<em>Anser anser</em>)<em> </em>and more than 20% of common crane (<em>Grus grus</em>). More than 180 plant species are present, including the critically endangered Indian bdellium-tree (<em>Commiphora wightii</em>). The Site contributes to the maintenance of hydrological regimes, erosion protection and nutrient cycling. It is used for recreation and tourism, and scientific and educational activities.</p>","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks","2","0","No","Yes","Yes","Provisioning Services, Fresh water, Wetland non-food products, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Supporting Services, Pollination, Biodiversity, Nutrient cycling, Cultural Services, Recreation and tourism, Scientific and educational","Water regulation, Water abstraction, Biological resource use, Gathering terrestrial plants, Natural system modifications, Unspecified/others, Invasive and other problematic species and genes, Invasive non-native/ alien species, Climate change & severe weather, Droughts, Human settlements (non agricultural), Unspecified development, Pollution, Agricultural and forestry effluents, Excess heat, sound, light, Agriculture & aquaculture, Annual and perennial non-timber crops","Khijadia wildlife sanctuary falls within Jamnagar District of Gujarat State, India. Khijadia Wildlife Sanctuary located virtually between 22°31’27” N and 70°07’17”E.","","Overlapping site categories, Regional international legal and other formal designations, Other international designation","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"461","Wular Lake","Asia","India","","1990-03-23","1990-03-23","18900","34.2666666666667","74.55","Wular Lake. 23/03/90; Jammu & Kashmir; 18,900 ha; 34°16'N 074°33'E. The largest freshwater lake in India with extensive marshes of emergent and floating vegetation, particularly water chestnut, that provide an important source of revenue for the State Government and fodder for domestic livestock. The lake supports an important fishing industry and is a valuable source of water for irrigation and domestic use. The area is important for wintering, staging and breeding birds. Human activities include rice cultivation and tree farming. Ramsar site no. 461. Most recent RIS information: 1990.","Yes","No","No","No","No","No","No","No","No","Inland wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, Human-made wetlands, 3: Irrigated land","","","No","No","Yes","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Provisioning Services, Fresh water, Wetland non-food products","Natural system modifications, Dams and water management/use, Unspecified/others, Vegetation clearance/ land conversion, Pollution, Unspecified, Household sewage, urban waste water, Agriculture & aquaculture, Annual and perennial non-timber crops, Wood and pulp plantations, Human settlements (non agricultural), Housing and urban areas","Jammu & Kashmir State","","","","No","No"
"2370","Sundarban Wetland","Asia","India","","2019-01-30","2019-01-31","423000","21.7749179288938","88.71441416168901","<p>Sundarban Wetland is located within the largest mangrove forest in the world, the Sundarbans, that encompasses hundreds of islands and a maze of rivers, rivulets and creeks, in the delta of the Rivers Ganges and Brahmaputra on the Bay of Bengal in India and Bangladesh. The Indian Sundarban, covering the south-westernmost part of the delta, constitutes over 60% of the country&rsquo;s total mangrove forest area and includes 90% of Indian mangrove species. The mangrove forests protect the hinterland from storms, cyclones, tidal surges, and the seepage and intrusion of saltwater inland and into waterways. They serve as nurseries to shellfish and finfish and sustain the fisheries of the entire eastern coast. The Sundarban Tiger Reserve is situated within the Site and part of it has been declared a &ldquo;critical tiger habitat&rdquo; under national law and also a &ldquo;Tiger Conservation Landscape&rdquo; of global importance. The Sundarbans are the only mangrove habitat which supports a significant population of tigers, and they have unique aquatic hunting skills. The Site is also home to a large number of rare and globally threatened species such as the critically endangered northern river terrapin (<em>Batagur baska</em>), the endangered Irrawaddy dolphin (<em>Orcaella brevirostris</em>), and the vulnerable fishing cat (<em>Prionailurus viverrinus</em>). Two of the world&rsquo;s four horseshoe crab species, and eight of India&rsquo;s 12 species of kingfisher are also found here. The uniqueness of the habitat and its biodiversity, and the many tangible and intangible, local, regional and global services they provide, makes the Site&rsquo;s protection and management a conservation priority.</p>","No","Yes","Yes","No","No","No","Yes","Yes","No","Marine or coastal wetlands, F: Estuarine waters, J: Coastal brackish / saline lagoons","6","","No","Yes","Yes","Cultural Services, Scientific and educational, Spiritual and inspirational, Recreation and tourism, Supporting Services, Biodiversity, Provisioning Services, Food for humans, Wetland non-food products, Regulating Services, Erosion protection, Climate regulation, Hazard reduction","Human settlements (non agricultural), Tourism and recreation areas, Water regulation, Dredging, Salinisation, Energy production and mining, Oil and gas drilling, Transportation and service corridors, Utility and service lines (e.g., pipelines), Biological resource use, Fishing and harvesting aquatic resources, Hunting and collecting terrestrial animals, Logging and wood harvesting, Human intrusions & disturbance, Recreational and tourism activities, Pollution, Air-borne pollutants","The Headquaters of the Sundarban Tiger Reserve is located at Canning town, South 24 Parganas district and is connected with broad gauge railway line with Sealdah South suburban station, which is 46 kms from Canning.","Overlapping site categories, Global international legal and other formal, World Heritage site, UNESCO Biosphere Reserve","","","Yes","No"
"2465","Bakhira Wildlife Sanctuary","Asia","India","","2021-06-29","2022-02-01","2894","26.9102240150825","83.1297829171324","<p>This freshwater marsh in the Sant Kabir Nagar district&nbsp;is the largest natural floodplain wetland of eastern Uttar Pradesh. The Sanctuary was established in 1980 and is protected under the Wildlife Protection Act (1972); an &ldquo;eco-sensitive zone&rdquo; extends up to a kilometre around its boundary. The wetland is internationally important for its birdlife as it supports over 80 species. It provides a wintering ground for over 25 species which migrate on the Central Asian Flyway, some of which are threatened or near-threatened such as the endangered Egyptian vulture (<em>Neophron percnopterus</em>), the vulnerable greater spotted eagle (<em>Aquila clanga</em>), common pochard (<em>Aythya ferina</em>) and swamp francolin (<em>Francolinus gularis</em>), and the near-threatened oriental darter (<em>Anhinga melanogaster</em>) and woolly-necked stork (<em>Ciconia episcopus</em>). The wetland also supports 119 plant species and 45 species of fish: it is home to the vulnerable European carp (<em>Cyprinus carpio</em>) and the catfish <em>Wallago attu, </em>and the near-threatened Gangetic ailia (<em>Ailia coila</em>) and silver carp (<em>Hypophthalmichthys molitrix</em>). The Site is also used for recreation and tourism and contributes to food supply and nutrient cycling.</p>","No","Yes","Yes","Yes","No","No","No","Yes","No","Inland wetlands, Tp: Permanent freshwater marshes/ pools","77","73","No","No","In preparation","Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Nutrient cycling, Provisioning Services, Food for humans, Wetland non-food products","Agriculture & aquaculture, Annual and perennial non-timber crops, Invasive and other problematic species and genes, Invasive non-native/ alien species, Biological resource use, Fishing and harvesting aquatic resources, Water regulation, Drainage","The site is situated in Sant Kabir Nagar district in the state of Uttar Pradesh.","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2463","Haiderpur Wetland","Asia","India","","2021-04-13","2021-12-08","6908","29.4166040655218","78.0164376480557","<p>This human-made wetland&nbsp;was formed in 1984 by the construction of the Madhya Ganga Barrage on a floodplain of the River Ganga. It is located within the boundaries of Hastinapur Wildlife Sanctuary. Haiderpur Wetland provides habitat for numerous animal and plant species, including more than 30 species of plants, over 300 species of birds including 102 waterbirds, more than 40 fish and more than ten mammal species. This diverse habitat supports more than 15 globally threatened species, such as the critically endangered gharial (<em>Gavialis gangeticus</em>) and the endangered hog deer (<em>Axis porcinus</em><em>),</em> black-bellied tern (<em>Sterna acuticauda</em>)<em>, </em>steppe eagle (<em>Aquila nipalensis</em><em>),</em> Indian skimmer (<em>Rynchops albicollis</em>) and gold mahseer (<em>Tor putitora</em>). The Site supports more than 25,000 waterbirds, serves as a breeding site for the near-threatened Indian grassbird (<em>Graminicola bengalensis</em>) and provides refuge to the northern subspecies population of the vulnerable swamp deer (<em>Rucervus duvaucelii</em>) during its seasonal flood-driven migration. The Site also regularly supports more than 1% of the population of greylag goose (<em>Anser anser</em>)<em> </em>and bar-headed goose <em>(Anser indicus</em>). Haiderpur Wetland also helps to support the livelihoods of the local communities, and contributes to the maintenance of hydrological regimes and to hazard reduction. It is used for recreation and tourism, and scientific and educational activities are also associated with the Site.</p>","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Inland wetlands, M: Permanent rivers/ streams/ creeks, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Human-made wetlands, 6: Water storage areas/Reservoirs","236","217","No","No","In preparation","Supporting Services, Nutrient cycling, Biodiversity, Soil formation, Pollination, Provisioning Services, Food for humans, Fresh water, Wetland non-food products, Regulating Services, Erosion protection, Pollution control and detoxification, Climate regulation, Hazard reduction, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational","Human settlements (non agricultural), Housing and urban areas, Water regulation, Water releases, Canalisation and river regulation, Agriculture & aquaculture, Annual and perennial non-timber crops, Marine and freshwater aquaculture, Biological resource use, Fishing and harvesting aquatic resources, Pollution, Agricultural and forestry effluents, Invasive and other problematic species and genes, Invasive non-native/ alien species","Uttar Pradesh","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"1204","Ashtamudi Wetland","Asia","India","","2002-08-19","2002-08-19","6140","8.949999999999999","76.5833333333333","Ashtamudi Wetland. 19/08/02. Kerala. 61,400 ha. 08°57'N 076°35'E. An extensive estuarine system, the second largest in Kerala State, which is of extraordinary importance for its hydrological functions, its biodiversity, and its support for fish. The site supports a number of mangrove species as well as over 40 associated plant species, and 57 species of birds have been observed, including six that are migratory. Nearly 100 species of fish sustain a lively fishing industry, with thousands of fishermen depending directly upon the estuary for their livelihood. Population density and urban pressures pose threats to the site, including pollution from oil spills from thousands of fishing boats and from industries in the surrounding area and conversion of natural habitat for development purposes. Ramsar site no. 1204. Most recent RIS information: 2002.","Yes","Yes","Yes","No","No","No","No","Yes","No","Marine or coastal wetlands, I: Intertidal forested wetlands, F: Estuarine waters","10","10","No","No","No","Regulating Services, Hazard reduction, Erosion protection, Provisioning Services, Food for humans, Wetland non-food products","Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Pollution, Industrial and military effluents, Household sewage, urban waste water, Unspecified, Transportation and service corridors, Shipping lanes, Biological resource use, Fishing and harvesting aquatic resources, Natural system modifications, Vegetation clearance/ land conversion","Kerala State","","","","No","No"
"1205","Bhitarkanika Mangroves","Asia","India","","2002-08-19","2002-08-19","65000","20.65","86.90000000000001","Bhitarkanika Mangroves. 19/08/02. Orissa. 65,000 ha. 20°39'N 086°54'E. Wildlife Sanctuary. One of the finest remaining patches of mangrove forests along the Indian coast - 25 years of continued conservation measures have made the site one of the best known wildlife sanctuaries. The site's Gahirmatha beach is said to host the largest known Olive Ridley sea turtle nesting beach in the world, with half a million nesting annually, and the site has the highest density of saltwater crocodile in the country, with nearly 700 Crocodylus porosus. It is a major breeding and wintering place for many resident and migratory waterbirds and is the east coast's major nursery for brackish water and estuarine fish fauna. Like many mangrove areas, the dense coastal forests provide vital protection for millions of people from devastating cyclones and tidal surges - of India's 58 recorded species of mangroves, 55 species are found in Bhitarkanika, a wider mangrove diversity than in the Sundarbans! Traditionally, sustainable harvesting of food, medicines, tannins, fuel wood, and construction materials, and particularly honey and fish, has been the rule, but population pressures and encroachment may threaten that equilibrium. Ramsar site no. 1205. Most recent RIS information: 2002.","No","Yes","No","Yes","Yes","No","No","Yes","No","Marine or coastal wetlands, B: Marine subtidal aquatic beds (Underwater vegetation), E: Sand, shingle or pebble shores, G: Intertidal mud, sand or salt flats, H: Intertidal marshes, I: Intertidal forested wetlands, J: Coastal brackish / saline lagoons, F: Estuarine waters","4","2","No","No","In preparation","Provisioning Services, Fresh water, Food for humans, Wetland non-food products, Regulating Services, Hazard reduction, Erosion protection, Pollution control and detoxification, Cultural Services, Spiritual and inspirational, Recreation and tourism, Scientific and educational, Supporting Services, Nutrient cycling","Water regulation, Salinisation, Human settlements (non agricultural), Housing and urban areas, Agriculture & aquaculture, Marine and freshwater aquaculture, Annual and perennial non-timber crops, Biological resource use, Fishing and harvesting aquatic resources, Gathering terrestrial plants, Hunting and collecting terrestrial animals, Logging and wood harvesting, Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion","Orissa","","","","No","No"
"1569","Chandertal Wetland","Asia","India","","2005-11-08","2005-11-08","49","32.4833333333","77.59999999999999","Chandertal Wetland. 08/11/05; Himachal Pradesh, 49 ha; 32°29'N 077°36'E. A high altitude lake on the upper Chandra valley flowing to the Chandra river of the Western Himalayas (4,337m asl.) near the Kunzam pass joining the Himalayan and Pir Panchal ranges. It supports CITES and IUCN Redlisted Snow Leopard and is a refuge for many species like Snow Cock, Chukor, Black Ring Stilt, Kestrel, Golden Eagle, Chough, Red Fox, Himalayan Ibex, and Blue Sheep. These species, over the years, have developed special physiological features as adaption strategies to cold arid climate, intense radiation, and oxygen deficiency. Some 65% of the larger catchment is degraded forest due to overgrazing by the nomadic herdsmen, while 35% are covered by grasslands. Other threatening factors to this fragile and sparse vegetation are summer trekking, littering waste, and lack of sanitation facilities. Since declaring the site a nationally important wetland in 1994, the authorities have been providing funds for ecotourism facilities. Spiti Forest Department is the custodian and State Council of Science, Technology and Environment is coordinating conservation management. Ramsar site no. 1569. Most recent RIS information: 2005.","No","Yes","Yes","No","No","No","No","No","No","Inland wetlands, M: Permanent rivers/ streams/ creeks, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks, O: Permanent freshwater lakes, W: Shrub-dominated wetlands, Sp: Permanent saline/ brackish/ alkaline marshes/ pools, Vt: Tundra wetlands","4337","4337","No","No","No","Regulating Services, Hazard reduction, Erosion protection, Provisioning Services, Wetland non-food products, Fresh water, Cultural Services, Scientific and educational, Recreation and tourism","Human settlements (non agricultural), Tourism and recreation areas, Human intrusions & disturbance, Recreational and tourism activities, Pollution, Garbage and solid waste, Household sewage, urban waste water, Agriculture & aquaculture, Livestock farming and ranching, Transportation and service corridors, Roads and railroads","Himachal Pradesh State","","","","No","No"
"1206","Bhoj Wetland","Asia","India","","2002-08-19","2002-08-19","3201","23.2333333333333","77.3333333333333","Bhoj Wetland. 19/08/02. Madhya Pradesh. 3,201 ha. 23°14'N 077°20'E. Two contiguous human-made reservoirs - the ""Upper Lake"" was created in the 11th century by construction of an earthen dam across the Kolans River, and the lower was constructed nearly 200 years ago, largely from leakage from the Upper, and is surrounded by the city of Bhopal. The lakes are very rich in biodiversity, particularly for macrophytes, phytoplankton, zooplankton, both natural and cultured fish species, both resident and migratory birds, insects, and reptiles and amphibians. Since implementation of a management action plan was begun in 1995 with financial support from the government of Japan, a number of bird species have been sighted which had rarely or never before been seen in the region. WWF-India has been of great assistance in preparing the site's designation. A photo essay is available at http://ramsar.org/photo_essay_india_bhoj.htm. Ramsar site no. 1206. Most recent RIS information: 2002.","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Inland wetlands, O: Permanent freshwater lakes, Human-made wetlands, 6: Water storage areas/Reservoirs","523","523","No","Yes","Yes","Provisioning Services, Fresh water, Food for humans, Genetic materials, Regulating Services, Hazard reduction, Cultural Services, Spiritual and inspirational, Recreation and tourism, Scientific and educational","Biological resource use, Unspecified, Fishing and harvesting aquatic resources, Pollution, Household sewage, urban waste water, Garbage and solid waste, Unspecified, Human settlements (non agricultural), Housing and urban areas, Invasive and other problematic species and genes, Problematic native species, Natural system modifications, Dams and water management/use, Vegetation clearance/ land conversion, Unspecified/others, Agriculture & aquaculture, Marine and freshwater aquaculture, Annual and perennial non-timber crops, Livestock farming and ranching, Human intrusions & disturbance, Recreational and tourism activities","Madhya Pradesh","","","","No","No"
